,case,rmse,chi,privacy,real,uniform,uniform2,nclasses,uniform_original
93,1tffNone_2_exponential,0.0,0.0,1,t,0,0,2,0
94,1fff_2_exponential,441.23463146040564,431.3669880884855,1,f,0,0,2,0
95,1mff_2_exponential,36.76955262170047,2.959836420874728,1,m,0,0,2,0
96,1ftt_2_exponential,441.23463146040564,431.3669880884855,1,f,1,1,2,0
97,1ttt_2_exponential,0.0,0.0,1,t,1,1,2,0
98,1mtt_2_exponential,192.33304448274092,80.08451826321897,1,m,1,1,2,0
99,1tffNone_2_exponential,0.0,0.0,1,t,0,0,2,0
100,1fff_2_exponential,478.0041840821061,515.9163471655851,1,f,0,0,2,0
101,1mff_2_exponential,16.97056274847714,0.6346519991537973,1,m,0,0,2,0
102,1ftt_2_exponential,435.57777721091327,419.22539817220843,1,f,1,1,2,0
103,1ttt_2_exponential,0.0,0.0,1,t,1,1,2,0
104,1mtt_2_exponential,254.55844122715712,142.230650705227,1,m,1,1,2,0
105,1tffNone_2_exponential,0.0,0.0,1,t,0,0,2,0
106,1fff_2_exponential,455.3767670841366,462.7118114593514,1,f,0,0,2,0
107,1mff_2_exponential,38.18376618407357,3.307382404181185,1,m,0,0,2,0
108,1ftt_2_exponential,466.6904755831214,488.83402536191227,1,f,1,1,2,0
109,1ttt_2_exponential,0.0,0.0,1,t,1,1,2,0
110,1mtt_2_exponential,213.54624791833734,102.65587926757343,1,m,1,1,2,0
111,1tffNone_2_exponential,0.0,0.0,1,t,0,0,2,0
112,1fff_2_exponential,429.9209229614209,407.30554967914816,1,f,0,0,2,0
113,1mff_2_exponential,22.627416997969522,1.1884644667694193,1,m,0,0,2,0
114,1ftt_2_exponential,492.1463197058371,551.164187799239,1,f,1,1,2,0
115,1ttt_2_exponential,0.0,0.0,1,t,1,1,2,0
116,1mtt_2_exponential,190.91883092036784,82.68456010452962,1,m,1,1,2,0
117,1tffNone_2_exponential,0.0,0.0,1,t,0,0,2,0
118,1fff_2_exponential,475.1757569573599,509.0541807950365,1,f,0,0,2,0
119,1mff_2_exponential,31.11269837220809,2.1274725274725275,1,m,0,0,2,0
120,2ftt_2_uniform,31.11269837220809,1.9369374777392259,2,f,1,1,2,1
121,2ttt_2_uniform,0.0,0.0,2,t,1,1,2,1
122,2mtt_2_uniform,29.698484809834994,1.7665508994988763,2,m,1,1,2,1
123,2tffNone_2_uniform,0.0,0.0,2,t,0,0,2,1
124,2fff_2_uniform,45.254833995939045,4.100198603369851,2,f,0,0,2,1
125,2mff_2_uniform,42.42640687119285,3.6007057383247116,2,m,0,0,2,1
126,2ftt_2_uniform,33.94112549695428,2.305327868852459,2,f,1,1,2,1
127,2ttt_2_uniform,0.0,0.0,2,t,1,1,2,1
128,2mtt_2_uniform,55.154328932550705,6.088115566122699,2,m,1,1,2,1
129,2tffNone_2_uniform,0.0,0.0,2,t,0,0,2,1
130,2fff_2_uniform,28.284271247461902,1.6006402561024409,2,f,0,0,2,1
131,2mff_2_uniform,7.0710678118654755,0.10014460881512904,2,m,0,0,2,1
132,2ftt_2_uniform,130.10764773832474,34.145003307998905,2,f,1,1,2,1
133,2ttt_2_uniform,0.0,0.0,2,t,1,1,2,1
134,2mtt_2_uniform,26.870057685088806,1.4443697586582165,2,m,1,1,2,1
135,2tffNone_2_uniform,0.0,0.0,2,t,0,0,2,1
136,2fff_2_uniform,53.74011537017761,5.784352605161853,2,f,0,0,2,1
137,2mff_2_uniform,7.0710678118654755,0.10006764572851247,2,m,0,0,2,1
138,2ftt_2_uniform,0.0,0.0,2,f,1,1,2,1
139,2ttt_2_uniform,0.0,0.0,2,t,1,1,2,1
140,2mtt_2_uniform,46.66904755831214,4.366917293233083,2,m,1,1,2,1
141,2tffNone_2_uniform,0.0,0.0,2,t,0,0,2,1
142,2fff_2_uniform,14.142135623730951,0.4000400040004001,2,f,0,0,2,1
143,2mff_2_uniform,5.656854249492381,0.06406560317765392,2,m,0,0,2,1
144,2ftt_2_uniform,2.8284271247461903,0.016000064000255998,2,f,1,1,2,1
145,2ttt_2_uniform,0.0,0.0,2,t,1,1,2,1
146,2mtt_2_uniform,50.91168824543142,5.189313857389967,2,m,1,1,2,1
147,2tffNone_2_uniform,0.0,0.0,2,t,0,0,2,1
148,2fff_2_uniform,2.8284271247461903,0.016000064000255998,2,f,0,0,2,1
149,2mff_2_uniform,4.242640687119285,0.03600921835990013,2,m,0,0,2,1
150,2ftt_2_uniform,8.48528137423857,0.14400518418663072,2,f,1,1,2,1
151,2ttt_2_uniform,0.0,0.0,2,t,1,1,2,1
152,2mtt_2_uniform,9.899494936611665,0.1960125448028674,2,m,1,1,2,1
153,2tffNone_2_uniform,0.0,0.0,2,t,0,0,2,1
154,2fff_2_uniform,2.8284271247461903,0.016000064000255998,2,f,0,0,2,1
155,2mff_2_uniform,32.526911934581186,2.118745894679505,2,m,0,0,2,1
156,2ftt_2_uniform,19.79898987322333,0.7841536941240483,2,f,1,1,2,1
157,2ttt_2_uniform,0.0,0.0,2,t,1,1,2,1
158,2mtt_2_uniform,16.97056274847714,0.576002304009216,2,m,1,1,2,1
159,2tffNone_2_uniform,0.0,0.0,2,t,0,0,2,1
160,2fff_2_uniform,2.8284271247461903,0.016000064000255998,2,f,0,0,2,1
161,2mff_2_uniform,0.0,0.0,2,m,0,0,2,1
162,2ftt_2_uniform,62.22539674441618,7.7590214655573195,2,f,1,1,2,1
163,2ttt_2_uniform,0.0,0.0,2,t,1,1,2,1
164,2mtt_2_uniform,1.4142135623730951,0.004005784352605162,2,m,1,1,2,1
165,2tffNone_2_uniform,0.0,0.0,2,t,0,0,2,1
166,2fff_2_uniform,2.8284271247461903,0.016000064000255998,2,f,0,0,2,1
167,2mff_2_uniform,8.48528137423857,0.14411298457991065,2,m,0,0,2,1
168,2ftt_2_uniform,28.284271247461902,1.6006402561024409,2,f,1,1,2,1
169,2ttt_2_uniform,0.0,0.0,2,t,1,1,2,1
170,2mtt_2_uniform,29.698484809834994,1.7640635062862264,2,m,1,1,2,1
171,2tffNone_2_uniform,0.0,0.0,2,t,0,0,2,1
172,2fff_2_uniform,96.16652224137046,18.581922811078428,2,f,0,0,2,1
173,2mff_2_uniform,8.48528137423857,0.14411298457991065,2,m,0,0,2,1
174,2ftt_2_uniform,2.8284271247461903,0.016000064000255998,2,f,1,1,2,1
175,2ttt_2_uniform,0.0,0.0,2,t,1,1,2,1
176,2mtt_2_uniform,19.79898987322333,0.7841536941240483,2,m,1,1,2,1
177,2tffNone_2_uniform,0.0,0.0,2,t,0,0,2,1
178,2fff_2_uniform,42.42640687119285,3.603242918626764,2,f,0,0,2,1
179,2mff_2_uniform,12.727922061357855,0.32401166441991913,2,m,0,0,2,1
180,2ftt_2_exponential,469.51890270786754,495.5134775494057,2,f,1,1,2,0
181,2ttt_2_exponential,0.0,0.0,2,t,1,1,2,0
182,2mtt_2_exponential,190.91883092036784,80.32314364290247,2,m,1,1,2,0
183,2tffNone_2_exponential,0.0,0.0,2,t,0,0,2,0
184,2fff_2_exponential,449.7199128346442,450.00200250090114,2,f,0,0,2,0
185,2mff_2_exponential,29.698484809834994,2.0070634068194644,2,m,0,0,2,0
186,2ftt_2_exponential,421.4356415871823,389.83489830947457,2,f,1,1,2,0
187,2ttt_2_exponential,0.0,0.0,2,t,1,1,2,0
188,2mtt_2_exponential,226.27416997969522,114.91415104926494,2,m,1,1,2,0
189,2tffNone_2_exponential,0.0,0.0,2,t,0,0,2,0
190,2fff_2_exponential,497.80317395532944,565.7096939148221,2,f,0,0,2,0
191,2mff_2_exponential,8.48528137423857,0.16307375916723668,2,m,0,0,2,0
192,2ftt_2_exponential,480.83261120685233,522.8403437358661,2,f,1,1,2,0
193,2ttt_2_exponential,0.0,0.0,2,t,1,1,2,0
194,2mtt_2_exponential,189.50461735799473,79.03203799312497,2,m,1,1,2,0
195,2tffNone_2_exponential,0.0,0.0,2,t,0,0,2,0
196,2fff_2_exponential,557.2001435749994,735.050262558537,2,f,0,0,2,0
197,2mff_2_exponential,15.556349186104045,0.5347262731788373,2,m,0,0,2,0
198,2ftt_2_exponential,494.9747468305833,558.4045584045584,2,f,1,1,2,0
199,2ttt_2_exponential,0.0,0.0,2,t,1,1,2,0
200,2mtt_2_exponential,171.1198410471445,64.4413047592639,2,m,1,1,2,0
201,2tffNone_2_exponential,0.0,0.0,2,t,0,0,2,0
202,2fff_2_exponential,415.77878733768995,378.45624389752663,2,f,0,0,2,0
203,2mff_2_exponential,4.242640687119285,0.040459621297944656,2,m,0,0,2,0
204,2ftt_2_exponential,520.430590953299,626.5452661188838,2,f,1,1,2,0
205,2ttt_2_exponential,0.0,0.0,2,t,1,1,2,0
206,2mtt_2_exponential,255.9726547895302,149.33789173789174,2,m,1,1,2,0
207,2tffNone_2_exponential,0.0,0.0,2,t,0,0,2,0
208,2fff_2_exponential,461.033621333629,475.65467638778864,2,f,0,0,2,0
209,2mff_2_exponential,12.727922061357855,0.36468252360306336,2,m,0,0,2,0
210,2ftt_2_exponential,429.9209229614209,407.30554967914816,2,f,1,1,2,0
211,2ttt_2_exponential,0.0,0.0,2,t,1,1,2,0
212,2mtt_2_exponential,254.55844122715712,154.58089017600275,2,m,1,1,2,0
213,2tffNone_2_exponential,0.0,0.0,2,t,0,0,2,0
214,2fff_2_exponential,452.54833995939043,456.3279857397505,2,f,0,0,2,0
215,2mff_2_exponential,1.4142135623730951,0.004350928488139369,2,m,0,0,2,0
216,2ftt_2_exponential,500.63160108007565,573.0801066442281,2,f,1,1,2,0
217,2ttt_2_exponential,0.0,0.0,2,t,1,1,2,0
218,2mtt_2_exponential,253.144227664784,141.79002102002434,2,m,1,1,2,0
219,2tffNone_2_exponential,0.0,0.0,2,t,0,0,2,0
220,2fff_2_exponential,478.0041840821061,515.9163471655851,2,f,0,0,2,0
221,2mff_2_exponential,12.727922061357855,0.3674869337979094,2,m,0,0,2,0
222,2ftt_2_exponential,480.83261120685233,522.8403437358661,2,f,1,1,2,0
223,2ttt_2_exponential,0.0,0.0,2,t,1,1,2,0
224,2mtt_2_exponential,214.96046148071045,102.9590017825312,2,m,1,1,2,0
225,2tffNone_2_exponential,0.0,0.0,2,t,0,0,2,0
226,2fff_2_exponential,494.9747468305833,558.4045584045584,2,f,0,0,2,0
227,2mff_2_exponential,1.4142135623730951,0.004509054180795037,2,m,0,0,2,0
228,2ftt_2_exponential,432.7493500861671,413.23794855047197,2,f,1,1,2,0
229,2ttt_2_exponential,0.0,0.0,2,t,1,1,2,0
230,2mtt_2_exponential,237.58787847867995,128.86259040105193,2,m,1,1,2,0
231,2tffNone_2_exponential,0.0,0.0,2,t,0,0,2,0
232,2fff_2_exponential,520.430590953299,626.5452661188838,2,f,0,0,2,0
233,2mff_2_exponential,7.0710678118654755,0.1103309487137618,2,m,0,0,2,0
234,2ftt_2_exponential,429.9209229614209,407.30554967914816,2,f,1,1,2,0
235,2ttt_2_exponential,0.0,0.0,2,t,1,1,2,0
236,2mtt_2_exponential,239.00209204105306,129.98580036773407,2,m,1,1,2,0
237,2tffNone_2_exponential,0.0,0.0,2,t,0,0,2,0
238,2fff_2_exponential,438.4062043356595,425.2682818895896,2,f,0,0,2,0
239,2mff_2_exponential,2.8284271247461903,0.01873369583034765,2,m,0,0,2,0
240,3ftt_2_uniform,8.48528137423857,0.14400518418663072,3,f,1,1,2,1
241,3ttt_2_uniform,0.0,0.0,3,t,1,1,2,1
242,3mtt_2_uniform,14.142135623730951,0.4002705829140499,3,m,1,1,2,1
243,3tffNone_2_uniform,0.0,0.0,3,t,0,0,2,1
244,3fff_2_uniform,22.627416997969522,1.0242622111260484,3,f,0,0,2,1
245,3mff_2_uniform,19.79898987322333,0.784,3,m,0,0,2,1
246,3ftt_2_uniform,19.79898987322333,0.7841536941240483,3,f,1,1,2,1
247,3ttt_2_uniform,0.0,0.0,3,t,1,1,2,1
248,3mtt_2_uniform,15.556349186104045,0.484094882596989,3,m,1,1,2,1
249,3tffNone_2_uniform,0.0,0.0,3,t,0,0,2,1
250,3fff_2_uniform,25.45584412271571,1.2964200400929902,3,f,0,0,2,1
251,3mff_2_uniform,15.556349186104045,0.48485528472225004,3,m,0,0,2,1
252,3ftt_2_uniform,33.94112549695428,2.305327868852459,3,f,1,1,2,1
253,3ttt_2_uniform,0.0,0.0,3,t,1,1,2,1
254,3mtt_2_uniform,15.556349186104045,0.484094882596989,3,m,1,1,2,1
255,3tffNone_2_uniform,0.0,0.0,3,t,0,0,2,1
256,3fff_2_uniform,8.48528137423857,0.14400518418663072,3,f,0,0,2,1
257,3mff_2_uniform,42.42640687119285,3.6020747950819674,3,m,0,0,2,1
258,3ftt_2_uniform,87.68124086713189,15.43533342167291,3,f,1,1,2,1
259,3ttt_2_uniform,0.0,0.0,3,t,1,1,2,1
260,3mtt_2_uniform,46.66904755831214,4.361652701901665,3,m,1,1,2,1
261,3tffNone_2_uniform,0.0,0.0,3,t,0,0,2,1
262,3fff_2_uniform,39.59797974644666,3.1384605530736094,3,f,0,0,2,1
263,3mff_2_uniform,48.08326112068523,4.627127938486417,3,m,0,0,2,1
264,3ftt_2_uniform,25.45584412271571,1.2964200400929902,3,f,1,1,2,1
265,3ttt_2_uniform,0.0,0.0,3,t,1,1,2,1
266,3mtt_2_uniform,90.50966799187809,16.451384872437504,3,m,1,1,2,1
267,3tffNone_2_uniform,0.0,0.0,3,t,0,0,2,1
268,3fff_2_uniform,67.88225099390856,9.237282699339278,3,f,0,0,2,1
269,3mff_2_uniform,14.142135623730951,0.40023053278688525,3,m,0,0,2,1
270,3ftt_2_uniform,2.8284271247461903,0.016000064000255998,3,f,1,1,2,1
271,3ttt_2_uniform,0.0,0.0,3,t,1,1,2,1
272,3mtt_2_uniform,14.142135623730951,0.4000784153694124,3,m,1,1,2,1
273,3tffNone_2_uniform,0.0,0.0,3,t,0,0,2,1
274,3fff_2_uniform,5.656854249492381,0.06400102401638426,3,f,0,0,2,1
275,3mff_2_uniform,9.899494936611665,0.19613258562788444,3,m,0,0,2,1
276,3ftt_2_uniform,67.88225099390856,9.237282699339278,3,f,1,1,2,1
277,3ttt_2_uniform,0.0,0.0,3,t,1,1,2,1
278,3mtt_2_uniform,9.899494936611665,0.1960031360501768,3,m,1,1,2,1
279,3tffNone_2_uniform,0.0,0.0,3,t,0,0,2,1
280,3fff_2_uniform,14.142135623730951,0.4000400040004001,3,f,0,0,2,1
281,3mff_2_uniform,24.041630560342615,1.1573378825922767,3,m,0,0,2,1
282,3ftt_2_uniform,22.627416997969522,1.0242622111260484,3,f,1,1,2,1
283,3ttt_2_uniform,0.0,0.0,3,t,1,1,2,1
284,3mtt_2_uniform,15.556349186104045,0.484007744123906,3,m,1,1,2,1
285,3tffNone_2_uniform,0.0,0.0,3,t,0,0,2,1
286,3fff_2_uniform,36.76955262170047,2.7058291404989774,3,f,0,0,2,1
287,3mff_2_uniform,2.8284271247461903,0.016036949130797357,3,m,0,0,2,1
288,3ftt_2_uniform,31.11269837220809,1.9369374777392259,3,f,1,1,2,1
289,3ttt_2_uniform,0.0,0.0,3,t,1,1,2,1
290,3mtt_2_uniform,24.041630560342615,1.1560739887352791,3,m,1,1,2,1
291,3tffNone_2_uniform,0.0,0.0,3,t,0,0,2,1
292,3fff_2_uniform,79.19595949289332,12.583461736004109,3,f,0,0,2,1
293,3mff_2_uniform,11.313708498984761,0.2560501858364239,3,m,0,0,2,1
294,3ftt_2_uniform,2.8284271247461903,0.016000064000255998,3,f,1,1,2,1
295,3ttt_2_uniform,0.0,0.0,3,t,1,1,2,1
296,3mtt_2_uniform,1.4142135623730951,0.004005784352605162,3,m,1,1,2,1
297,3tffNone_2_uniform,0.0,0.0,3,t,0,0,2,1
298,3fff_2_uniform,93.33809511662427,17.500231006263284,3,f,0,0,2,1
299,3mff_2_uniform,21.213203435596427,0.900360144057623,3,m,0,0,2,1
300,3ftt_2_exponential,475.1757569573599,509.0541807950365,3,f,1,1,2,0
301,3ttt_2_exponential,0.0,0.0,3,t,1,1,2,0
302,3mtt_2_exponential,188.09040379562165,76.59034621313151,3,m,1,1,2,0
303,3tffNone_2_exponential,0.0,0.0,3,t,0,0,2,0
304,3fff_2_exponential,483.6610383315985,529.8266435343519,3,f,0,0,2,0
305,3mff_2_exponential,25.45584412271571,1.4114510500934432,3,m,0,0,2,0
306,3ftt_2_exponential,444.06305858515185,437.52191026443194,3,f,1,1,2,0
307,3ttt_2_exponential,0.0,0.0,3,t,1,1,2,0
308,3mtt_2_exponential,217.78888860545663,107.59654471544715,3,m,1,1,2,0
309,3tffNone_2_exponential,0.0,0.0,3,t,0,0,2,0
310,3fff_2_exponential,509.11688245431424,595.5882352941177,3,f,0,0,2,0
311,3mff_2_exponential,22.627416997969522,1.1803980154558364,3,m,0,0,2,0
312,3ftt_2_exponential,429.9209229614209,407.30554967914816,3,f,1,1,2,0
313,3ttt_2_exponential,0.0,0.0,3,t,1,1,2,0
314,3mtt_2_exponential,251.7300141024109,150.0253325189047,3,m,1,1,2,0
315,3tffNone_2_exponential,0.0,0.0,3,t,0,0,2,0
316,3fff_2_exponential,486.4894654563447,536.8757259001161,3,f,0,0,2,0
317,3mff_2_exponential,33.94112549695428,2.5318681318681318,3,m,0,0,2,0
318,3ftt_2_exponential,418.60721446243616,384.1189674523008,3,f,1,1,2,0
319,3ttt_2_exponential,0.0,0.0,3,t,1,1,2,0
320,3mtt_2_exponential,197.9898987322333,85.27819836753163,3,m,1,1,2,0
321,3tffNone_2_exponential,0.0,0.0,3,t,0,0,2,0
322,3fff_2_exponential,469.51890270786754,495.5134775494057,3,f,0,0,2,0
323,3mff_2_exponential,12.727922061357855,0.36252802878741086,3,m,0,0,2,0
324,3ftt_2_exponential,469.51890270786754,495.5134775494057,3,f,1,1,2,0
325,3ttt_2_exponential,0.0,0.0,3,t,1,1,2,0
326,3mtt_2_exponential,261.6295090390226,152.30131853559334,3,m,1,1,2,0
327,3tffNone_2_exponential,0.0,0.0,3,t,0,0,2,0
328,3fff_2_exponential,398.8082245892128,345.5777228303617,3,f,0,0,2,0
329,3mff_2_exponential,8.48528137423857,0.15997440409534475,3,m,0,0,2,0
330,3ftt_2_exponential,489.31789258109086,543.9880765752871,3,f,1,1,2,0
331,3ttt_2_exponential,0.0,0.0,3,t,1,1,2,0
332,3mtt_2_exponential,255.9726547895302,149.5772152823435,3,m,1,1,2,0
333,3tffNone_2_exponential,0.0,0.0,3,t,0,0,2,0
334,3fff_2_exponential,509.11688245431424,595.5882352941177,3,f,0,0,2,0
335,3mff_2_exponential,9.899494936611665,0.21995286724273372,3,m,0,0,2,0
336,3ftt_2_exponential,500.63160108007565,573.0801066442281,3,f,1,1,2,0
337,3ttt_2_exponential,0.0,0.0,3,t,1,1,2,0
338,3mtt_2_exponential,216.37467504308356,102.4952822133972,3,m,1,1,2,0
339,3tffNone_2_exponential,0.0,0.0,3,t,0,0,2,0
340,3fff_2_exponential,444.06305858515185,437.52191026443194,3,f,0,0,2,0
341,3mff_2_exponential,70.71067811865476,11.255633444538992,3,m,0,0,2,0
342,3ftt_2_exponential,466.6904755831214,488.83402536191227,3,f,1,1,2,0
343,3ttt_2_exponential,0.0,0.0,3,t,1,1,2,0
344,3mtt_2_exponential,219.20310216782974,108.16663740201972,3,m,1,1,2,0
345,3tffNone_2_exponential,0.0,0.0,3,t,0,0,2,0
346,3fff_2_exponential,466.6904755831214,488.83402536191227,3,f,0,0,2,0
347,3mff_2_exponential,19.79898987322333,0.8673525832503596,3,m,0,0,2,0
348,3ftt_2_exponential,509.11688245431424,595.5882352941177,3,f,1,1,2,0
349,3ttt_2_exponential,0.0,0.0,3,t,1,1,2,0
350,3mtt_2_exponential,176.7766952966369,68.15287179845069,3,m,1,1,2,0
351,3tffNone_2_exponential,0.0,0.0,3,t,0,0,2,0
352,3fff_2_exponential,517.6021638285528,618.7029758303273,3,f,0,0,2,0
353,3mff_2_exponential,7.0710678118654755,0.11289790867913962,3,m,0,0,2,0
354,3ftt_2_exponential,432.7493500861671,413.23794855047197,3,f,1,1,2,0
355,3ttt_2_exponential,0.0,0.0,3,t,1,1,2,0
356,3mtt_2_exponential,183.84776310850236,75.20503384226524,3,m,1,1,2,0
357,3tffNone_2_exponential,0.0,0.0,3,t,0,0,2,0
358,3fff_2_exponential,486.4894654563447,536.8757259001161,3,f,0,0,2,0
359,3mff_2_exponential,11.313708498984761,0.2955969904531409,3,m,0,0,2,0
360,4ftt_2_uniform,67.88225099390856,9.237282699339278,4,f,1,1,2,1
361,4ttt_2_uniform,0.0,0.0,4,t,1,1,2,1
